Agent,Budget,Condition,Seed,Region,Family,IsActive,IsNoisy,ValError,NumSamples,Status
OracleBestRegion,50,Mixed,860,3,noisy_unlearnable,True,True,0.5043786042298016,2,learning
OracleBestRegion,50,Mixed,860,4,piecewise_linear,True,False,0.49449772493754807,4,learning
OracleBestRegion,50,Mixed,860,5,cubic,True,False,0.04841974578566537,4,learning
OracleBestRegion,50,Mixed,860,6,piecewise_linear,True,False,0.021952666769522056,6,learning
OracleBestRegion,50,Mixed,860,7,piecewise_linear,True,False,0.009741103422817608,7,learning
OracleBestRegion,50,Mixed,860,8,sine,True,False,0.5926953529953315,6,learning
OracleBestRegion,50,Mixed,860,9,noisy_unlearnable,True,True,1.224017187612951,6,learning
OracleBestRegion,50,Mixed,5390,0,noisy_unlearnable,True,True,0.9687353153166743,9,learning
OracleBestRegion,50,Mixed,5390,1,noisy_unlearnable,True,True,1.7188784212381225,7,learning
OracleBestRegion,50,Mixed,5390,2,cubic,True,False,0.07937224201828724,15,learning
OracleBestRegion,50,Mixed,5390,3,quadratic,True,False,0.03632430461518751,19,learning
OracleBestRegion,50,Mixed,5191,0,piecewise_linear,True,False,0.2619597623907891,2,learning
OracleBestRegion,50,Mixed,5191,1,piecewise_linear,True,False,0.031718265577938574,3,learning
OracleBestRegion,50,Mixed,5191,2,piecewise_linear,True,False,0.03092213818088014,4,learning
OracleBestRegion,50,Mixed,5191,3,noisy_unlearnable,True,True,0.7424372357545767,6,learning
OracleBestRegion,50,Mixed,5191,4,piecewise_linear,True,False,0.06743656333228384,10,learning
OracleBestRegion,50,Mixed,5191,5,linear,True,False,0.005000225447978487,20,learning
OracleBestRegion,50,Mixed,5191,6,cubic,True,False,0.23889793286200026,1,learning
OracleBestRegion,50,Mixed,5191,7,noisy_unlearnable,True,True,2.840477904111878,4,learning
OracleBestRegion,50,Mixed,5734,0,sine,True,False,1.4630641558265833,5,learning
OracleBestRegion,50,Mixed,5734,1,sine,True,False,0.28779432453120646,3,learning
OracleBestRegion,50,Mixed,5734,2,noisy_unlearnable,True,True,2.3000687093789036,7,learning
OracleBestRegion,50,Mixed,5734,3,piecewise_linear,True,False,0.0035311020299804504,12,learning
OracleBestRegion,50,Mixed,5734,4,noisy_unlearnable,True,True,1.3293046694900548,6,learning
OracleBestRegion,50,Mixed,5734,5,noisy_unlearnable,True,True,1.2245578080607995,7,learning
OracleBestRegion,50,Mixed,5734,6,quadratic,True,False,0.3247487958360574,5,learning
OracleBestRegion,50,Mixed,5734,7,cubic,True,False,0.07190246633226026,3,learning
OracleBestRegion,50,Mixed,5734,8,sine,True,False,0.5741880741561727,2,learning
